rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
embossmaskfilter,embossmaskfilter,BLUR,blur-mask-basic,instrumented-existing,78.10009765625,0.0,true,640,960,479847,614400,255/255/255/213,26.56/25.56/43.22/0.41,none,images/reference/embossmaskfilter.png,images/generated/embossmaskfilter.png,images/diff/embossmaskfilter.png,
fast_slow_blurimagefilter,fast_slow_blurimagefilter,BLUR,blur-filter-graph-gated,expected-unsupported,42.27543424317618,0.0,true,620,260,67724,161200,249/249/249/0,63.77/63.77/63.77/0.0,unsupported.blur.image_filter_graph,images/reference/fast_slow_blurimagefilter.png,images/generated/fast_slow_blurimagefilter.png,images/diff/fast_slow_blurimagefilter.png,
hdr-pip-blur,hdr-pip-blur,BLUR,blur-resource-budget-gated,expected-unsupported,0.0390625,0.0,true,640,360,0,230400,225/154/198/0,62.94/36.41/46.14/0.0,unsupported.blur.resource_budget,images/reference/hdr-pip-blur.png,images/generated/hdr-pip-blur.png,images/diff/hdr-pip-blur.png,
imageblur2,imageblur2,BLUR,blur-image-basic,instrumented-existing,9.9844,5.0,true,500,500,24961,250000,181/105/211/0,54.62/44.05/153.57/0.0,none,images/reference/imageblur2.png,images/generated/imageblur2.png,images/diff/imageblur2.png,
imageblurclampmode,imageblurclampmode,BLUR,blur-image-basic,instrumented-existing,78.27314578005115,0.0,true,850,920,612096,782000,255/255/255/0,15.16/54.06/45.01/0.0,none,images/reference/imageblurclampmode.png,images/generated/imageblurclampmode.png,images/diff/imageblurclampmode.png,
imageblur,imageblur,BLUR,blur-image-basic,instrumented-existing,32.3272,27.9,true,500,500,75017,250000,208/215/255/0,67.6/55.61/76.08/0.0,none,images/reference/imageblur.png,images/generated/imageblur.png,images/diff/imageblur.png,
imageblurrepeatmode,imageblurrepeatmode,BLUR,blur-image-basic,instrumented-existing,40.62148337595908,0.0,true,850,920,317660,782000,204/208/204/0,76.25/60.27/58.06/0.0,none,images/reference/imageblurrepeatmode.png,images/generated/imageblurrepeatmode.png,images/diff/imageblurrepeatmode.png,
imageblurrepeatunclipped,imageblurrepeatunclipped,BLUR,blur-clip-interaction-gated,expected-unsupported,0.146484375,0.0,true,256,128,76,32768,204/204/204/0,29.85/50.64/29.83/0.0,unsupported.blur.clip_interaction,images/reference/imageblurrepeatunclipped.png,images/generated/imageblurrepeatunclipped.png,images/diff/imageblurrepeatunclipped.png,
imagefilterstext_cf,imagefilterstext_cf,BLUR,blur-text-dependent-gated,no-score,,0.0,,500,300,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.text_dependency,,images/generated/imagefilterstext_cf.png,,reference-missing
imagefilterstext_if,imagefilterstext_if,BLUR,blur-text-dependent-gated,no-score,,0.0,,500,300,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.text_dependency,,images/generated/imagefilterstext_if.png,,reference-missing
inverse_fill_filters,inverse_fill_filters,BLUR,blur-filter-graph-gated,expected-unsupported,11.944580078125,0.0,true,384,128,891,49152,255/255/255/0,246.93/246.93/246.93/0.0,unsupported.blur.image_filter_graph,images/reference/inverse_fill_filters.png,images/generated/inverse_fill_filters.png,images/diff/inverse_fill_filters.png,
inverse_windingmode_filters,inverse_windingmode_filters,BLUR,blur-filter-graph-gated,expected-unsupported,19.77734375,0.0,true,256,100,12389,25600,255/255/255/0,197.75/207.78/207.78/0.0,unsupported.blur.image_filter_graph,images/reference/inverse_windingmode_filters.png,images/generated/inverse_windingmode_filters.png,images/diff/inverse_windingmode_filters.png,
matrixconvolution,matrixconvolution,BLUR,blur-matrix-convolution-gated,no-score,,0.0,,500,300,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.matrix_convolution,images/reference/matrixconvolution.png,,,generated-render-missing
matrixconvolution_big_color,matrixconvolution_big_color,BLUR,blur-matrix-convolution-gated,no-score,,0.0,,500,300,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.matrix_convolution,images/reference/matrixconvolution_big_color.png,,,generated-render-missing
matrixconvolution_big,matrixconvolution_big,BLUR,blur-matrix-convolution-gated,no-score,,0.0,,500,300,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.matrix_convolution,images/reference/matrixconvolution_big.png,,,generated-render-missing
matrixconvolution_bigger,matrixconvolution_bigger,BLUR,blur-matrix-convolution-gated,no-score,,0.0,,500,300,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.matrix_convolution,images/reference/matrixconvolution_bigger.png,,,generated-render-missing
matrixconvolution_biggest,matrixconvolution_biggest,BLUR,blur-matrix-convolution-gated,no-score,,0.0,,500,300,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.matrix_convolution,images/reference/matrixconvolution_biggest.png,,,generated-render-missing
matrixconvolution_color,matrixconvolution_color,BLUR,blur-matrix-convolution-gated,no-score,,0.0,,500,300,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.blur.matrix_convolution,images/reference/matrixconvolution_color.png,,,generated-render-missing
rrect_blurs,rrect_blurs,BLUR,blur-rect-rrect-circle,instrumented-existing,52.27916666666667,0.0,true,300,400,62735,120000,187/187/187/0,62.13/59.63/67.05/0.0,none,images/reference/rrect_blurs.png,images/generated/rrect_blurs.png,images/diff/rrect_blurs.png,
simpleblurroundrect,simpleblurroundrect,BLUR,blur-rect-rrect-circle,instrumented-existing,69.328,64.3,true,1000,500,346070,500000,255/255/255/0,50.53/28.19/56.15/0.0,none,images/reference/simpleblurroundrect.png,images/generated/simpleblurroundrect.png,images/diff/simpleblurroundrect.png,
smallemboss,smallemboss,BLUR,blur-small-sigma,instrumented-existing,84.0,0.0,true,50,50,2100,2500,171/171/171/0,171.0/171.0/171.0/0.0,none,images/reference/smallemboss.png,images/generated/smallemboss.png,images/diff/smallemboss.png,
tablemaskfilter,tablemaskfilter,BLUR,blur-mask-basic,instrumented-existing,83.443125,0.0,true,400,400,133509,160000,255/255/255/0,127.26/127.26/127.26/0.0,none,images/reference/tablemaskfilter.png,images/generated/tablemaskfilter.png,images/diff/tablemaskfilter.png,
