upstream_cpp	n_gm	kt_files	gm_status	source_tags	test_files	disabled_tags	bucket
annotated_text	1	AnnotatedTextGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/AnnotatedTextTest.kt	-	ported
arcofzorro	1	ArcOfZorroGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ArcOfZorroWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ArcOfZorroTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ArcOfZorroCrossBackendTest.kt	-	ported
arcto	4	ArcToGM.kt,Bug583299GM.kt,Bug593049GM.kt,ParsedPathsGM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ArcToWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ArcToTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ArcToCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Bug583299Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Bug593049Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ParsedPathsTest.kt	MISSING_FIXTURE	fixture-gated
arithmode	2	ArithmodeBlenderGM.kt,ArithmodeGM.kt	PORTED	-	-	-	ported
asyncrescaleandread	4	AsyncRescaleAndReadAlphaTypeGM.kt,AsyncRescaleAndReadNoBleedGM.kt,AyncYUVNoScaleGM.kt	PARTIAL	STUB.ASYNC_RESCALE_READ,STUB.ASYNC_RESCALE_READ_YUV	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/AsyncRescaleAndReadAlphaTypeWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AsyncRescaleAndReadAlphaTypeTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/AsyncRescaleAndReadAlphaTypeCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AsyncRescaleAndReadNoBleedTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/AsyncRescaleAndReadNoBleedWebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/AsyncRescaleAndReadNoBleedCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/AyncYUVNoScaleTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/AyncYUVNoScaleWebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/AyncYUVNoScaleCrossBackendTest.kt	STUB.ASYNC_RESCALE_AND_READ,STUB.ASYNC_RESCALE_AND_READ_YUV	codec-gated
attributes	1	AttributesGM.kt	STUB	STUB.GANESH_INTERNAL	skia-integration-tests/src/test/kotlin/org/skia/tests/AttributesTest.kt	STUB.GANESH_INTERNAL	gpu-intractable
b_119394958	1	B119394958GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/B119394958WebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/B119394958Test.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/B119394958CrossBackendTest.kt	-	ported
backdrop	2	BackdropHintrectClippingGM.kt,BackdropScalefactorGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BackdropHintrectClippingTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BackdropScalefactorTest.kt	-	ported
backdrop_imagefilter_croprect	5	BackdropImagefilterCroprectGM.kt,BackdropImagefilterCroprectVariantsGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BackdropImagefilterCroprectTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BackdropImagefilterCroprectVariantsTest.kt	-	ported
badpaint	1	BadPaintGM.kt	PORTED	-	-	-	ported
batchedconvexpaths	1	BatchedConvexPathsGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/BatchedConvexPathsWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BatchedConvexPathsTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BatchedConvexPathsCrossBackendTest.kt	-	ported
bc1_transparency	1	BC1TransparencyGM.kt	TEST_DISABLED	STUB.COMPRESSED_TEXTURES	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/BC1TransparencyWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BC1TransparencyTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BC1TransparencyCrossBackendTest.kt	STUB.COMPRESSED_TEXTURES	codec-gated
beziereffects	2	BezierEffectsGM.kt	TEST_DISABLED	INTRACTABLE.GANESH_EFFECT,STUB.GANESH_BEZIER_EFFECT	skia-integration-tests/src/test/kotlin/org/skia/tests/BezierEffectsTest.kt	INTRACTABLE.GANESH_EFFECT,STUB.GANESH_BEZIER_EFFECT	gpu-intractable
beziers	1	BeziersGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/BeziersWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BeziersTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BeziersCrossBackendTest.kt	-	ported
bicubic	1	BicubicGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BicubicTest.kt	-	ported
bigblurs	1	BigBlursGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BigBlursCrossBackendTest.kt	-	ported
bigmatrix	1	BigMatrixGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BigMatrixCrossBackendTest.kt	-	ported
bigrect	1	BigRectGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/BigRectWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BigRectTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BigRectCrossBackendTest.kt	-	ported
bigrrectaaeffect	1	-	MISSING	-	-	-	missing-mapping
bigtext	2	BigTextCrbug1370488GM.kt,BigTextGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BigTextCrbug1370488Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BigTextTest.kt	-	ported
bigtileimagefilter	1	BigTileImageFilterGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BigTileImageFilterTest.kt	-	ported
bitmapcopy	1	BitmapCopyGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BitmapCopyTest.kt	-	ported
bitmapfilters	2	FilterGM.kt,TestExtractAlphaGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/TestExtractAlphaWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/TestExtractAlphaTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/TestExtractAlphaCrossBackendTest.kt	-	ported
bitmapimage	1	BitmapImageGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BitmapImageTest.kt	-	ported
bitmappremul	2	BitmapPremulGM.kt,ImageOutOfGamutGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BitmapPremulTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ImageOutOfGamutTest.kt	-	ported
bitmaprect	4	BitmapRectRoundingGM.kt,DrawBitmapRect2GM.kt,DrawBitmapRect4GM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/BitmapRectRoundingWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BitmapRectRoundingTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BitmapRectRoundingCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DrawBitmapRect2GMTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DrawBitmapRect4GMTest.kt	-	slow-or-reference
bitmaprecttest	1	BitmapRectTestGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/BitmapRectTestWebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BitmapRectTestCrossBackendTest.kt	-	ported
