upstream_cpp	n_gm	kt_files	gm_status	source_tags	test_files	disabled_tags	bucket
color4f	3	Color4blendcfGM.kt,Color4fGM.kt,Color4shaderGM.kt	PARTIAL	STUB.COLOR4F_BLEND_CF	skia-integration-tests/src/test/kotlin/org/skia/tests/Color4blendcfTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Color4fTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Color4shaderTest.kt	STUB.COLOR4F_BLEND_CF	implementation
coloremoji	1	ColorEmojiGM.kt	TEST_DISABLED	STUB.EMOJI_TABLES	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ColorEmojiWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ColorEmojiTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ColorEmojiCrossBackendTest.kt	STUB.EMOJI_TABLES	font-gated
coloremoji_blendmodes	1	-	MISSING	-	-	-	missing-mapping
colorfilteralpha8	1	ColorFilterAlpha8GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ColorFilterAlpha8CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ColorFilterAlpha8Test.kt	-	ported
colorfilterimagefilter	3	ColorFilterImageFilterGM.kt,ColorFilterImageFilterLayerGM.kt,ColorFilterShaderGM.kt	PARTIAL	STUB.MAKE_WITH_COLOR_FILTER	skia-integration-tests/src/test/kotlin/org/skia/tests/ColorFilterImageFilterLayerTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ColorFilterImageFilterTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ColorFilterShaderTest.kt	STUB.MAKE_WITH_COLOR_FILTER	implementation
colorfilters	2	ColorFiltersGM.kt,HSLColorFilterGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/ColorFiltersTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/HSLColorFilterTest.kt	-	ported
colormatrix	1	ColorMatrixGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/ColorMatrixTest.kt	-	ported
colorspace	2	Colorspace2GM.kt,ColorspaceGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Colorspace2GMTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ColorspaceGMTest.kt	-	ported
colorwheel	3	ColorWheelAlphaTypesGM.kt,ColorWheelGM.kt,ColorWheelNativeGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/ColorWheelAlphaTypesTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ColorWheelTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ColorWheelNativeTest.kt	-	ported
colrv1	1	ColrV1GM.kt	TEST_DISABLED	STUB.COLR_V1,STUB.FIXTURE,STUB.FONTATIONS	skia-integration-tests/src/test/kotlin/org/skia/tests/ColrV1Test.kt	STUB.COLR_V1,STUB.FIXTURE,STUB.FONTATIONS	font-gated
complexclip	6	ClipShaderComplexClipGM.kt,ClipShaderPerspGM.kt,ComplexClipGM.kt	PARTIAL	STUB.POLY_TO_POLY	skia-integration-tests/src/test/kotlin/org/skia/tests/ClipShaderComplexClipTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ClipShaderPerspTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ComplexClipTest.kt	STUB.POLY_TO_POLY	implementation
complexclip2	1	ComplexClip2GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/ComplexClip2Test.kt	-	ported
complexclip3	1	ComplexClip3GM.kt	PORTED	-	-	-	ported
complexclip4	1	ComplexClip4GM.kt	PORTED	-	-	-	ported
complexclip_blur_tiled	1	ComplexClipBlurTiledGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/ComplexClipBlurTiledTest.kt	-	ported
composecolorfilter	2	ComposeColorFilterGM.kt	PORTED	-	-	-	ported
composeshader	5	ComposeShaderAlphaGM.kt,ComposeShaderBitmap2GM.kt,ComposeShaderBitmapGM.kt,ComposeShaderGM.kt,ComposeShaderGridGM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ComposeShaderAlphaWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ComposeShaderAlphaTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ComposeShaderAlphaCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ComposeShaderBitmap2Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ComposeShaderBitmapTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ComposeShaderTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ComposeShaderGridTest.kt	STUB.COMPOSE_SHADER	implementation
compositor_quads	1	CompositorGM.kt	TEST_DISABLED	STUB.EDGE_AA_IMAGE_SET	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/CompositorWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/CompositorTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/CompositorCrossBackendTest.kt	ALIAS	alias
compressed_textures	1	CompressedTexturesGM.kt	TEST_DISABLED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/CompressedTexturesWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/CompressedTexturesTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/CompressedTexturesCrossBackendTest.kt	STUB.COMPRESSED_TEXTURES	codec-gated
concavepaths	1	ConcavePathsGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ConcavePathsWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ConcavePathsTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ConcavePathsCrossBackendTest.kt	-	ported
conicpaths	5	ArcCircleGapGM.kt,ConicPathsGM.kt,Crbug640176GM.kt,LargeCircleGM.kt,LargeOvalsGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ArcCircleGapWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ArcCircleGapTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ArcCircleGapCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ConicPathsTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ConicPathsCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug640176Test.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug640176CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/LargeCircleTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/LargeCircleCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/LargeOvalsTest.kt	-	ported
constcolorprocessor	1	-	MISSING	-	-	-	missing-mapping
convex_all_line_paths	1	ConvexLineOnlyPathsGM.kt	PORTED	-	-	-	ported
convexpaths	1	ConvexPathsGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ConvexPathsWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ConvexPathsTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ConvexPathsCrossBackendTest.kt	-	ported
convexpolyclip	1	ConvexPolyClipGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/ConvexPolyClipTest.kt	-	ported
convexpolyeffect	1	ConvexPolyEffectGM.kt	TEST_DISABLED	STUB.GPU_CONVEX_POLY_EFFECT	skia-integration-tests/src/test/kotlin/org/skia/tests/ConvexPolyEffectTest.kt	STUB.GPU_CONVEX_POLY_EFFECT	gpu-intractable
coordclampshader	1	CoordClampShaderGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/CoordClampShaderGMTest.kt	-	ported
copy_to_4444	2	CopyTo4444GM.kt,Format4444GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/CopyTo4444Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Format4444Test.kt	-	ported
crbug_1041204	1	Crbug10141204GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug10141204CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug10141204Test.kt	-	ported
crbug_1073670	1	Crbug1073670GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1073670Test.kt	-	ported
crbug_1086705	1	Crbug1086705GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug1086705CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1086705Test.kt	-	ported
crbug_1113794	1	Crbug1113794GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug1113794CrossBackendTest.kt	-	ported
crbug_1139750	1	Crbug1139750GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug1139750CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1139750Test.kt	-	ported
crbug_1156804	1	Crbug1156804GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1156804Test.kt	-	ported
crbug_1162942	1	Crbug1162942GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1162942Test.kt	-	ported
crbug_1167277	1	Crbug1167277GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1167277Test.kt	-	ported
crbug_1174186	1	Crbug1174186GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1174186Test.kt	-	ported
crbug_1174354	1	Crbug1174354GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1174354Test.kt	-	ported
crbug_1177833	1	Crbug1177833GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1177833Test.kt	-	ported
crbug_1257515	1	Crbug1257515GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug1257515CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1257515Test.kt	-	ported
crbug_1313579	1	Crbug1313579GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug1313579Test.kt	-	ported
crbug_224618	1	-	MISSING	-	-	-	missing-mapping
crbug_478659067	1	CrBug478659067GM.kt	TEST_DISABLED	INTRACTABLE.GRAPHITE_ONLY,STUB.CANVAS_GET_BASE_LAYER_SIZE,STUB.CANVAS_IMAGE_INFO,STUB.GRAPHITE_CAPS_GLYPHS_AS_PATHS_FONT_SIZE,STUB.GRAPHITE_RECORDER,STUB.GRAPHITE_RENDER_TARGET,STUB.GRAPHITE_SURFACE_DRAW	skia-integration-tests/src/test/kotlin/org/skia/tests/CrBug478659067GMTest.kt	INTRACTABLE.GRAPHITE_ONLY,STUB.CANVAS_GET_BASE_LAYER_SIZE,STUB.CANVAS_IMAGE_INFO,STUB.GRAPHITE_CAPS_GLYPHS_AS_PATHS_FONT_SIZE,STUB.GRAPHITE_RECORDER,STUB.GRAPHITE_RENDER_TARGET,STUB.GRAPHITE_SURFACE_DRAW	gpu-intractable
crbug_691386	1	Crbug691386GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug691386Test.kt	-	ported
crbug_788500	1	Crbug788500GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug788500CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug788500Test.kt	-	ported
crbug_847759	1	Crbug847759GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug847759CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug847759Test.kt	-	ported
crbug_884166	1	Crbug884166GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug884166CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug884166Test.kt	-	ported
crbug_887103	1	Crbug887103GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug887103CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug887103Test.kt	-	ported
crbug_892988	1	Crbug892988GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug892988CrossBackendTest.kt	-	ported
crbug_899512	1	Crbug899512GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug899512CrossBackendTest.kt	-	ported
crbug_905548	1	Crbug905548GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug905548Test.kt	-	ported
crbug_908646	1	Crbug908646GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug908646CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug908646Test.kt	-	ported
crbug_913349	1	Crbug913349GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug913349CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug913349Test.kt	-	ported
crbug_918512	1	Crbug918512GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug918512Test.kt	-	ported
crbug_938592	1	Crbug938592GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/Crbug938592WebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug938592Test.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug938592CrossBackendTest.kt	-	ported
crbug_946965	1	Crbug946965GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug946965Test.kt	-	ported
crbug_947055	1	Crbug947055GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Crbug947055Test.kt	-	ported
crbug_996140	1	Crbug996140GM.kt	PORTED	-	-	-	ported
crop_imagefilter	1	CropImageFilterGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/CropImageFilterGMTest.kt	-	ported
croppedrects	1	CroppedRectsGM.kt	PORTED	-	-	-	ported
crosscontextimage	1	CrossContextImageGM.kt	TEST_DISABLED	INTRACTABLE.GPU_ONLY,STUB.CROSS_CONTEXT_IMAGE	skia-integration-tests/src/test/kotlin/org/skia/tests/CrossContextImageTest.kt	STUB.CROSS_CONTEXT_IMAGE	gpu-intractable
cubicpaths	7	Bug5099GM.kt,Bug6083GM.kt,ClippedCubic2GM.kt,ClippedCubicGM.kt,CubicClosePathGM.kt,CubicPathGM.kt,CubicPathShaderGM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ClippedCubic2CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Bug5099Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Bug6083Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ClippedCubic2Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ClippedCubicTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ClippedCubicCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/CubicClosePathTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/CubicPathTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/CubicPathShaderTest.kt	-	partial-coverage
daa	1	DaaGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DaaTest.kt	-	ported
dashcircle	3	DashCircle2GM.kt,DashCircleGM.kt,MaddashGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DashCircle2Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DashCircleTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/MaddashTest.kt	-	ported
dashcubics	2	DashCubicsGM.kt,TrimGM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/DashCubicsCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DashCubicsTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/TrimTest.kt	-	implementation
dashing	13	DashBigRectsGM.kt,DashLineZeroOffIntervalGM.kt,DashTextCapsGM.kt,Dashing2GM.kt,Dashing3GM.kt,Dashing4GM.kt,Dashing5GM.kt,DashingGM.kt,LongLineDashGM.kt,LongPathDashGM.kt,LongWavyLineGM.kt,PathEffectEmptyResultGM.kt,ThinAaDashLinesGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/DashingCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DashBigRectsTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DashLineZeroOffIntervalTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DashTextCapsTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Dashing2Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Dashing3Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Dashing4Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Dashing5Test.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DashingTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/LongLineDashTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/LongPathDashTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/LongWavyLineTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/PathEffectEmptyResultTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ThinAaDashLinesTest.kt	-	ported
degeneratesegments	1	DegenerateSegmentsGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DegenerateSegmentsTest.kt	-	ported
destcolor	1	DestColorGM.kt	PORTED	-	-	-	ported
dftext	1	DFTextGM.kt	TEST_DISABLED	STUB.DF_TEXT,STUB.EMOJI_TABLES	skia-integration-tests/src/test/kotlin/org/skia/tests/DFTextTest.kt	STUB.DF_TEXT	font-gated
dftext_blob_persp	1	DFTextBlobPerspGM.kt	TEST_DISABLED	STUB.DF_TEXT_RASTER	skia-integration-tests/src/test/kotlin/org/skia/tests/DFTextBlobPerspTest.kt	STUB.DF_TEXT_RASTER	implementation
discard	1	DiscardGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DiscardTest.kt	-	ported
displacement	1	DisplacementMapGM.kt	PORTED	-	-	-	ported
distantclip	1	DistantClipGM.kt	PORTED	-	-	-	ported
draw_bitmap_rect_skbug4374	1	DrawBitmapRectSkbug4734GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/DrawBitmapRectSkbug4734WebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DrawBitmapRectSkbug4734Test.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/DrawBitmapRectSkbug4734CrossBackendTest.kt	-	ported
drawable	1	DrawableGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DrawableTest.kt	-	ported
drawatlas	5	BlobRSXformDistortableGM.kt,BlobRSXformGM.kt,CompareAtlasVerticesGM.kt,DrawAtlasGM.kt,DrawTextRSXformGM.kt	PARTIAL	STUB.RSXBLOB	skia-integration-tests/src/test/kotlin/org/skia/tests/BlobRSXformDistortableTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlobRSXformTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/CompareAtlasVerticesTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DrawAtlasTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DrawTextRSXformTest.kt	STUB.RSXBLOB	implementation
drawatlascolor	1	DrawAtlasColorsGM.kt	PORTED	-	-	-	ported
drawbitmaprect	1	DrawBitmapRectGM.kt	TEST_DISABLED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DrawBitmapRectGMTest.kt	SLOW.GM_STRESS	slow-or-reference
drawglyphs	1	DrawGlyphsGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DrawGlyphsTest.kt	-	ported
drawimageset	3	DrawImageSetAlphaOnlyGM.kt,DrawImageSetGM.kt,DrawImageSetRectToRectGM.kt	TEST_DISABLED	STUB.EDGE_AA_IMAGE_SET	skia-integration-tests/src/test/kotlin/org/skia/tests/DrawImageSetAlphaOnlyTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DrawImageSetTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DrawImageSetRectToRectTest.kt	STUB.EDGE_AA_IMAGE_SET	implementation
drawlines_with_local_matrix	1	DrawlinesWithLocalMatrixGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DrawlinesWithLocalMatrixTest.kt	-	ported
drawminibitmaprect	1	DrawMiniBitmapRectGM.kt	TEST_DISABLED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DrawMiniBitmapRectTest.kt	SLOW.GM_STRESS	slow-or-reference
drawquadset	1	DrawQuadSetGM.kt	TEST_DISABLED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DrawQuadSetTest.kt	STUB.EDGE_AA_QUAD	implementation
drawregion	1	DrawRegionGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DrawRegionTest.kt	-	ported
drawregionmodes	1	DrawRegionModesGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DrawRegionModesTest.kt	-	ported
dropshadowimagefilter	2	DropShadowImageFilterGM.kt,DropShadowPseudoPerspGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DropShadowPseudoPerspTest.kt	-	ported
drrect	1	DRRectGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DRRectTest.kt	-	ported
drrect_small_inner	1	DRRectSmallInnerGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/DRRectSmallInnerCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/DRRectSmallInnerTest.kt	-	ported
dstreadshuffle	1	DstReadShuffleGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/DstReadShuffleTest.kt	-	ported
ducky_yuv_blend	1	DuckyYuvBlendGM.kt	TEST_DISABLED	STUB.LAZY_YUV_IMAGE	skia-integration-tests/src/test/kotlin/org/skia/tests/DuckyYuvBlendTest.kt	STUB.LAZY_YUV_IMAGE	codec-gated
emboss	3	EmbossGM.kt,EmbossmaskfilterGM.kt,SmallembossGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/EmbossTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/EmbossmaskfilterTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/SmallembossTest.kt	-	ported
emptypath	2	EmptyPathGM.kt,EmptyStrokeGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/EmptyPathTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/EmptyStrokeTest.kt	-	ported
emptyshader	1	EmptyShaderGM.kt	PORTED	-	-	-	ported
encode	2	EncodeGM.kt	PARTIAL	-	skia-integration-tests/src/test/kotlin/org/skia/tests/EncodeTest.kt	-	partial-coverage
encode_alpha_jpeg	1	EncodeJpegAlphaOptsGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/EncodeJpegAlphaOptsTest.kt	-	ported
encode_color_types	1	EncodeColorTypesGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/EncodeColorTypesTest.kt	-	ported
encode_platform	1	EncodePlatformGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/EncodePlatformTest.kt	-	ported
encode_srgb	1	-	MISSING	-	-	-	missing-mapping
exoticformats	1	ExoticFormatsGM.kt	TEST_DISABLED	STUB.COMPRESSED_TEXTURES	skia-integration-tests/src/test/kotlin/org/skia/tests/ExoticFormatsTest.kt	STUB.COMPRESSED_TEXTURES	codec-gated
fadefilter	1	FadeFilterGM.kt	PORTED	-	-	-	ported
fatpathfill	1	FatPathFillGM.kt	PORTED	-	-	-	ported
fiddle	1	FiddleGM.kt	STUB	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/FiddleWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/FiddleTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/FiddleCrossBackendTest.kt	-	implementation
fillrect_gradient	1	FillrectGradientGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/FillrectGradientWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/FillrectGradientTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/FillrectGradientCrossBackendTest.kt	-	ported
filltypes	1	FillTypeGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/FillTypeWebGpuTest.kt	-	ported
filltypespersp	1	FillTypePerspGM.kt	PORTED	-	-	-	ported
filterbug	1	FilterBugGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/FilterBugTest.kt	-	ported
filterfastbounds	1	ImageFilterFastBoundGM.kt	PORTED	-	-	-	ported
filterindiabox	1	FilterIndiaBoxGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/FilterIndiaBoxTest.kt	-	ported
flippity	1	FlippityGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/FlippityTest.kt	-	ported
fontations	1	-	MISSING	-	-	-	missing-mapping
fontations_ft_compare	1	FontationsFtCompareGM.kt	TEST_DISABLED	STUB.FIXTURE,STUB.FONTATIONS,STUB.FREETYPE	skia-integration-tests/src/test/kotlin/org/skia/tests/FontationsFtCompareTest.kt	STUB.FONTATIONS	font-gated
fontcache	1	FontCacheGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/FontCacheTest.kt	-	ported
fontmgr	3	FontMgrBoundsGM.kt,FontMgrGM.kt,FontMgrMatchGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/FontMgrBoundsTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/FontMgrTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/FontMgrMatchTest.kt	-	ported
fontregen	2	BadAppleGM.kt,FontRegenGM.kt	PORTED	STUB.PATH_TORTURE_ASSET	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/BadAppleWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BadAppleTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BadAppleCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/FontRegenTest.kt	STUB.PATH_TORTURE_ASSET	ported
