selectionOrdinal,name,family,renderCost,referenceStatus,route,outcome,cluster,refusalCode,primaryDiagnosticCode,diagnosticCodes,dispatch,refuse,similarity,minSimilarity,isPassing,noScoreCause,referenceAvailable,generatedAvailable,width,height
12,check_small_sigma_offset,BLUR,non-blocking,trusted,refusal,refused,strokes,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,0,0,,91.7,,generated-render-missing,True,False,200,1200
13,blurquickreject,BLUR,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,70.5,,generated-render-missing,True,False,300,300
14,blurrect_gallery,BLUR,non-blocking,trusted,gpu,rendered,other,,,,55,0,65.05875651041667,64.5,True,,True,True,1200,1024
15,blurrects,BLUR,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,44.0,,generated-render-missing,True,False,860,820
16,BlurSmallSigma,BLUR,non-blocking,trusted,gpu,rendered,other,,,,4,0,86.71875,82.9,True,,True,True,512,256
17,blurredclippedcircle,BLUR,non-blocking,trusted,failure,failed,other,,invalid.surface.prepared.frame-build-contract,invalid.surface.prepared.frame-build-contract,0,0,,70.5,,generated-render-missing,True,False,1164,802
18,crbug_899512,BLUR,non-blocking,trusted,gpu,rendered,other,,,,2,0,92.14571005917159,87.7,True,,True,True,520,520
19,emboss,BLUR,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,55.5,,generated-render-missing,True,False,600,120
20,embossmaskfilter,BLUR,non-blocking,trusted,failure,failed,other,,invalid.surface.prepared.frame-build-contract,invalid.surface.prepared.frame-build-contract,0,0,,0.0,,generated-render-missing,True,False,640,960
21,fast_slow_blurimagefilter,BLUR,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,620,260
22,hdr-pip-blur,BLUR,non-blocking,trusted,gpu,rendered,other,,,,5,0,0.0,0.0,True,,True,True,640,360
23,imageblur2,BLUR,non-blocking,trusted,gpu,rendered,other,,,,217,0,8.48,5.0,True,,True,True,500,500
24,imageblurclampmode,BLUR,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,850,920
25,imageblur,BLUR,non-blocking,trusted,gpu,rendered,other,,,,27,0,30.0068,27.9,True,,True,True,500,500
26,imageblurrepeatmode,BLUR,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,850,920
27,imageblurrepeatunclipped,BLUR,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,256,128
28,inverse_fill_filters,BLUR,non-blocking,trusted,refusal,refused,strokes,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,0,0,,0.0,,generated-render-missing,True,False,384,128
29,inverse_windingmode_filters,BLUR,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,256,100
30,matrixconvolution,BLUR,non-blocking,trusted,gpu,rendered,other,,,,4,0,0.14933333333333332,0.0,True,,True,True,500,300
31,matrixconvolution_big_color,BLUR,non-blocking,trusted,gpu,rendered,other,,,,8,0,0.0,0.0,True,,True,True,500,300
32,matrixconvolution_big,BLUR,non-blocking,trusted,gpu,rendered,other,,,,4,0,2.0353333333333334,0.0,True,,True,True,500,300
33,matrixconvolution_bigger,BLUR,non-blocking,trusted,gpu,rendered,other,,,,5,0,0.0,0.0,True,,True,True,500,300
34,matrixconvolution_biggest,BLUR,non-blocking,trusted,gpu,rendered,other,,,,6,0,0.0,0.0,True,,True,True,500,300
35,matrixconvolution_color,BLUR,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,500,300
