gm	tolerance	matchingPixels	totalPixels	similarityPercent	pixelMatchPercent	ssim	meanChannelError	maxDiffRGBA	meanDiffRGBA
all_bitmap_configs	0	57013	98304	57.996622721354	57.996622721354	0.595850872226	0.050237009884	255,255,255,0	41.454215,40.571335,39.968807,0.000000
copyTo4444	0	36143	64800	55.776234567901	55.776234567901	0.965961794370	0.011801546236	17,17,17,0	9.096416,9.049063,9.074223,0.000000
format4444	8	4096	4096	100.000000000000	100.000000000000	1.000000000000	0.000000000000	0,0,0,0	0.000000,0.000000,0.000000,0.000000
mipmap_gray8_srgb	0	51867	59800	86.734113712375	86.734113712375	0.791243328809	0.041892583120	254,254,254,0	107.369217,107.369217,107.369217,0.000000
