rowId,name,family,subfamily,classification,similarity,minSimilarity,fallbackReason,noScoreCause
drawregionmodes,drawregionmodes,PATH,path-ops-gated,no-score,,0.0,unsupported.coverage.path_ops,generated-render-missing
ellipse,ellipse,PATH,path-fill-simple,no-score,,0.0,none,reference-missing
elliptical_corner,elliptical_corner,PATH,path-fill-simple,no-score,,0.0,none,reference-missing
fancy_gradients,fancy_gradients,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
fatpathfill,fatpathfill,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
filltypespersp,filltypespersp,PATH,path-perspective-gated,instrumented-existing,11.606786427145709,0.0,none,
inner_join_geometry,inner_join_geometry,PATH,path-stroke-caps-joins,no-score,,0.0,none,generated-render-missing
lattice2,lattice2,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
lineclosepath,lineclosepath,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
linepath,linepath,PATH,path-stroke-basic,instrumented-existing,77.09015715467329,0.0,none,
longrect_dash,longrect_dash,PATH,path-dash-gated,no-score,,0.0,unsupported.coverage.dash_pattern,reference-missing
macaatest,macaatest,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
mandoline,mandoline,PATH,path-fill-concave,instrumented-existing,89.77142857142857,84.8,none,
manycircles,manycircles,PATH,path-fill-concave,instrumented-existing,0.0,0.0,none,
manypathatlases,manypathatlases,PATH,path-fill-simple,no-score,,0.0,none,reference-missing
nested,nested,PATH,path-fill-simple,no-score,,0.0,none,reference-missing
nested#2,nested,PATH,path-fill-simple,no-score,,0.0,none,reference-missing
nonclosedpaths,nonclosedpaths,PATH,path-fill-simple,instrumented-existing,64.8406762295082,59.8,none,
OverStroke,OverStroke,PATH,path-stroke-caps-joins,no-score,,0.0,none,generated-render-missing
parsedpaths,parsedpaths,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
path_huge_aa_manual,path_huge_aa_manual,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
path_mask_cache,path_mask_cache,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
PathMeasure_explosion,PathMeasure_explosion,PATH,path-fill-simple,no-score,,0.0,none,reference-missing
pathops_blend,pathops_blend,PATH,path-ops-gated,no-score,,0.0,unsupported.coverage.path_ops,generated-render-missing
pathopsinverse,pathopsinverse,PATH,path-ops-gated,no-score,,0.0,unsupported.coverage.path_ops,generated-render-missing
pathops_skbug_10155,pathops_skbug_10155,PATH,path-ops-gated,no-score,,0.0,unsupported.coverage.path_ops,generated-render-missing
path-reverse,path-reverse,PATH,path-fill-simple,instrumented-existing,88.10221354166666,0.0,none,
path_stroke_clip_crbug1070835,path_stroke_clip_crbug1070835,PATH,path-stroke-caps-joins,no-score,,80.0,none,generated-render-missing
points,points,PATH,path-stroke-basic,instrumented-existing,38.7515943877551,0.0,none,
poly2poly,poly2poly,PATH,path-ops-gated,no-score,,0.0,unsupported.coverage.path_ops,generated-render-missing
polygons,polygons,PATH,path-fill-concave,instrumented-existing,72.47211779448621,69.0,none,
preservefillrule_big,preservefillrule_big,PATH,path-fill-concave,instrumented-existing,52.717499999999994,47.7,none,
preservefillrule,preservefillrule,PATH,path-fill-concave,no-score,,0.0,none,reference-missing
preservefillrule_little,preservefillrule_little,PATH,path-fill-concave,instrumented-existing,45.375,40.4,none,
quadclosepath,quadclosepath,PATH,path-fill-concave,instrumented-existing,80.20099255583126,0.0,none,
quadpath,quadpath,PATH,path-fill-concave,instrumented-existing,80.25765095119934,0.0,none,
roundrects,roundrects,PATH,path-fill-concave,no-score,,0.0,none,generated-render-missing
shadow_utils_directional,shadow_utils_directional,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
sharedcorners,sharedcorners,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
simpleshapes_bw,simpleshapes_bw,PATH,path-fill-simple,no-score,,80.0,none,generated-render-missing
simpleshapes,simpleshapes,PATH,path-fill-simple,no-score,,0.0,none,generated-render-missing
stlouisarch,stlouisarch,PATH,path-fill-concave,instrumented-existing,94.70062255859375,0.0,none,
stroke_rect_shader,stroke_rect_shader,PATH,path-shader-material-gated,instrumented-existing,52.761352657004835,42.8,none,
strokedline_caps,strokedline_caps,PATH,path-stroke-caps-joins,instrumented-existing,94.80569498069498,92.0,none,
strokes3,strokes3,PATH,path-stroke-caps-joins,no-score,,0.0,none,generated-render-missing
zero_control_stroke,zero_control_stroke,PATH,path-hairline-gated,instrumented-existing,93.89562500000001,0.0,none,
strokes_round,strokes_round,PATH,path-stroke-caps-joins,instrumented-existing,21.648125,17.3,none,
teenyStrokes,teenyStrokes,PATH,path-hairline-gated,instrumented-existing,98.22375,93.2,none,
thin_aa_dash_lines,thin_aa_dash_lines,PATH,path-dash-gated,instrumented-existing,80.56198347107438,75.6,none,
thinconcavepaths,thinconcavepaths,PATH,path-hairline-gated,instrumented-existing,96.94545454545455,94.0,none,
thinrects,thinrects,PATH,path-hairline-gated,instrumented-existing,90.05729166666666,85.1,none,
thinroundrects,thinroundrects,PATH,path-hairline-gated,instrumented-existing,89.53776041666667,84.5,none,
thinstrokedrects,thinstrokedrects,PATH,path-hairline-gated,instrumented-existing,80.20833333333334,75.2,none,
tinyanglearcs,tinyanglearcs,PATH,path-fill-simple,instrumented-existing,99.90713587487781,94.9,none,
trickycubicstrokes_largeradius,trickycubicstrokes_largeradius,PATH,path-stroke-caps-joins,instrumented-existing,73.9288330078125,68.9,none,
trimpatheffect,trimpatheffect,PATH,path-dash-gated,instrumented-existing,79.1345,74.1,none,
widebuttcaps,widebuttcaps,PATH,path-stroke-caps-joins,instrumented-existing,31.28875,26.3,none,
zero_control_stroke#2,zero_control_stroke,PATH,path-hairline-gated,instrumented-existing,93.89562500000001,0.0,none,
zeroPath,zeroPath,PATH,path-hairline-gated,instrumented-existing,97.40062499999999,92.4,none,
zero_length_paths_aa,zero_length_paths_aa,PATH,path-fill-simple,no-score,,80.0,none,generated-render-missing
zero_length_paths_bw,zero_length_paths_bw,PATH,path-fill-simple,no-score,,80.0,none,generated-render-missing
zero_length_paths_dbl_aa,zero_length_paths_dbl_aa,PATH,path-fill-simple,no-score,,80.0,none,generated-render-missing
zero_length_paths_dbl_bw,zero_length_paths_dbl_bw,PATH,path-fill-simple,no-score,,80.0,none,generated-render-missing
zerolinedash,zerolinedash,PATH,path-dash-gated,no-score,,80.0,unsupported.coverage.dash_pattern,generated-render-missing
zerolinestroke,zerolinestroke,PATH,path-hairline-gated,instrumented-existing,74.05555555555556,69.1,none,
