gm,refusalCode,rootCauseBucket,item
circle_sizes,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
clockwise,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
concavepaths,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
conicpaths,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
convex_lineonly_paths,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
convex_lineonly_paths_stroke_and_fill,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
convexpaths,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
crbug_691386,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
cubicclosepath,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
cubicpath,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
cubicpath_shader,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
dashcircle,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
dashtextcaps,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
dashing5_aa,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
dashing,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
drawlines_with_local_matrix,unsupported.material.radial_gradient_capability_missing,unsupported material feature,none
drawregionmodes,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
fatpathfill,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
filltypespersp,unsupported.material.source_unimplemented,unsupported material feature,none
inner_join_geometry,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
lineclosepath,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
linepath,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
mandoline,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
manycircles,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
manypathatlases,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
nested,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
nested,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
nonclosedpaths,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
OverStroke,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
parsedpaths,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
path_mask_cache,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
pathops_skbug_10155,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
path-reverse,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
path_stroke_clip_crbug1070835,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
points,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
poly2poly,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
polygons,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
preservefillrule_big,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
preservefillrule_little,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
quadclosepath,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
quadpath,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
roundrects,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
sharedcorners,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
simpleshapes_bw,unsupported.native-core-primitive.path-destination-read,unsupported execution feature,6
simpleshapes,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
stlouisarch,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
stroke_rect_shader,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
strokedline_caps,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
strokes3,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
zero_control_stroke,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
strokes_round,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
teenyStrokes,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
thin_aa_dash_lines,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
thinrects,unsupported.core_primitive.geometry.invalid,unsupported core-primitive execution feature,none
thinroundrects,unsupported.core_primitive.geometry.invalid,unsupported core-primitive execution feature,none
thinstrokedrects,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
tinyanglearcs,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
trickycubicstrokes_largeradius,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
trimpatheffect,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
widebuttcaps,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
zero_control_stroke,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
zeroPath,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
zerolinedash,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
zerolinestroke,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
