gm,refusalCode,rootCauseBucket,item
draw_image_set_alpha_only,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
draw_image_set,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
draw_image_set_rect_to_rect,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
draw_quad_set,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
dropshadow_pseudopersp,unsupported.composite.paint,unsupported composite operation,none
dstreadshuffle,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
encode,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
filterfastbounds,unsupported.composite.paint,unsupported composite operation,none
hslcolorfilter,unsupported.material.source_unimplemented,unsupported material feature,none
hairmodes,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
highcontrastfilter,unsupported.composite.paint,unsupported composite operation,none
hsl,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
imagefiltersbase,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
imagefiltersclipped,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
imagefilterscropped,unsupported.core_primitive.geometry.invalid,unsupported core-primitive execution feature,none
imagefiltersstroked,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
imagefilterstransformed,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
imagefiltersunpremul,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
imagefilters_xfermodes,unsupported.composite.paint,unsupported composite operation,none
internal_links,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
lcdblendmodes,invalid.preflight.text.blend,invalid frame plan / preflight seal,none
lighting,unsupported.image.native_binding,unsupported image/sampler feature,none
localmatriximagefilter,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
luminosity_overflow,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
mixerCF,unsupported.material.source_unimplemented,unsupported material feature,none
offsetimagefilter,unsupported.image.native_binding,unsupported image/sampler feature,none
overdraw_canvas,unsupported.image.native_binding,unsupported image/sampler feature,none
overdrawcolorfilter,unsupported.image.native_binding,unsupported image/sampler feature,none
patch_alpha,failed.prepared-surface.materialization,runtime failure class,none
patch_alpha_test,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
patch_image_persp,unsupported.vertices.material,unsupported vertices/mesh feature,none
patch_primitive,failed.prepared-surface.materialization,runtime failure class,none
perlinnoise,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
perlinnoise_layered,unsupported.composite.paint,unsupported composite operation,none
perlinnoise_rotated,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
PlusMergesAA,unsupported.layer.bounds_unbounded,unsupported layer feature,none
rasterallocator,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
recordopts,unsupported.composite.operation,unsupported composite operation,none
rotate_imagefilter,invalid.core_primitive.coverage_sample.stencil_1x_requires_single_sample,invalid frame plan / preflight seal,none
runtimecolorfilter_vertices_atlas_and_patch,invalid.surface.prepared.empty-frame-accounting,invalid frame plan / preflight seal,none
gpusamplerstress,unsupported.material.mapping.image_tile_mode,unsupported material feature,none
savelayer_f16,unsupported.composite.paint,unsupported composite operation,none
shadermaskfilter_gradient,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
shadow_utils_gray,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
shadow_utils_occl,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
simple-offsetimagefilter,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
sk3d_simple,unsupported.surface.prepared.mixed-composite-topology,unsupported prepared-surface topology,none
srcmode,invalid.preflight.text.blend,invalid frame plan / preflight seal,none
srgb_colorfilter,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
tablecolorfilter,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
xfermodes,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
alphagradients,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
analytic_gradients,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
bug6643,unsupported.material.sweep_gradient_capability_missing,unsupported material feature,none
clamped_gradients,unsupported.material.source_unimplemented,unsupported material feature,none
gradients_2pt_conical_inside_nodither,unsupported.material.source_unimplemented,unsupported material feature,none
gradients_2pt_conical_outside,unsupported.material.source_unimplemented,unsupported material feature,none
crbug_938592,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
degenerate_gradients,unsupported.material.gradient_tile_mode_unsupported,unsupported material feature,none
emptyshader,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
fillrect_gradient,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradient_dirty_laundry,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_many,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradient_many_hard_stops,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradient_many_stops,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradient_matrix,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_alpha_many_stops,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_color_space,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_color_space_many_stops,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_color_space_tilemode,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_degenerate_2pt,unsupported.material.source_unimplemented,unsupported material feature,none
gradients_dup_color_stops,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_hue_method,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_interesting,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_local_perspective,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_no_texture,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
gradients_powerless_hue,failed.frame-coordinator.preflight,runtime failure class,none
gradients_view_perspective,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
hardstop_gradients,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
hardstop_gradients_many,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
linear_gradient,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
linear_gradient_rt,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
linear_gradient_tiny,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
persp_shaders_bw,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
persp_shaders_aa,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
radial_gradient2,unsupported.material.source_unimplemented,unsupported material feature,none
radial_gradient3,unsupported.material.radial_gradient_capability_missing,unsupported material feature,none
radial_gradient3_nodither,unsupported.material.radial_gradient_capability_missing,unsupported material feature,none
radial_gradient4,unsupported.material.radial_gradient_capability_missing,unsupported material feature,none
radial_gradient4_nodither,unsupported.material.radial_gradient_capability_missing,unsupported material feature,none
radial_gradient,unsupported.material.radial_gradient_capability_missing,unsupported material feature,none
radial_gradient_precision,unsupported.material.gradient_tile_mode_unsupported,unsupported material feature,none
scaled_tilemode_gradient,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
shallow_gradient_conical,unsupported.material.source_unimplemented,unsupported material feature,none
shallow_gradient_conical_nodither,unsupported.material.source_unimplemented,unsupported material feature,none
shallow_gradient_linear,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
shallow_gradient_linear_nodither,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
shallow_gradient_radial,unsupported.material.radial_gradient_capability_missing,unsupported material feature,none
shallow_gradient_radial_nodither,unsupported.material.radial_gradient_capability_missing,unsupported material feature,none
shallow_gradient_sweep,unsupported.material.sweep_gradient_capability_missing,unsupported material feature,none
shallow_gradient_sweep_nodither,unsupported.material.sweep_gradient_capability_missing,unsupported material feature,none
small_color_stop,unsupported.material.source_unimplemented,unsupported material feature,none
sweep_tiling,unsupported.material.sweep_gradient_capability_missing,unsupported material feature,none
testgradient,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
all_bitmap_configs,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
all_variants_8888,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
alpha_image_alpha_tint,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
alpha_image_shader_rt,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
anisomips,failed.frame-coordinator.preflight,runtime failure class,none
anisotropic_image_scale_aniso,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
anisotropic_image_scale_linear,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
anisotropic_image_scale_mip,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
bc1_transparency,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
bicubic,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
bigmatrix,unsupported.material.source_unimplemented,unsupported material feature,none
bitmapcopy,unsupported.image.pixel.format,unsupported image/sampler feature,none
bitmapfilters,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
bitmap-image-srgb-legacy,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
bitmap_premul,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
bitmaprect_rounding,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
bitmapshaders,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
bitmap_subset_shader,unsupported.material.source_unimplemented,unsupported material feature,none
bmp_filter_quality_repeat,unsupported.material.source_unimplemented,unsupported material feature,none
bug6783,unsupported.material.source_unimplemented,unsupported material feature,none
child_sampling_rt,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
clippedbitmapshaders,reference-missing,missing reference artifact (chantier B),none
jpg-color-cube,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
colorwheel_alphatypes,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
colorwheel,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
colorspace2,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
colorspace,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
compressed_textures,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
copyTo4444,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
crbug_224618,unsupported.material.gradient_tile_mode_unsupported,unsupported material feature,none
deferred_shader_rt,unsupported.core_primitive.material.non_solid,unsupported core-primitive execution feature,none
bitmaprect_s,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
bitmaprect_i,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
3x3bitmaprect,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
draw_bitmap_rect_skbug4734,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
drawminibitmaprect,unsupported.material.gradient_tile_mode_unsupported,unsupported material feature,none
drawimagerect_filter,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
encode-color-types-webp-lossless,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
encode-srgb-png,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
exoticformats,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
filterbug,unsupported.material.source_unimplemented,unsupported material feature,none
flight_animated_image,unsupported.surface.prepared.mixed-composite-topology,unsupported prepared-surface topology,none
flippity,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
format4444,unsupported.image.pixel.format,unsupported image/sampler feature,none
giantbitmap_clamp_bilerp_rotate,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
giantbitmap_clamp_bilerp_scale,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
giantbitmap_clamp_point_rotate,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
giantbitmap_clamp_point_scale,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
giantbitmap_mirror_bilerp_rotate,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
giantbitmap_mirror_bilerp_scale,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
giantbitmap_mirror_point_rotate,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
giantbitmap_mirror_point_scale,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
