rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
coloremoji_colrv0,coloremoji_colrv0,TEXT,text-emoji-gated,expected-unsupported,0.20692307692307693,0.0,true,650,1200,1614,780000,255/255/255/0,16.05/14.15/16.26/0.0,unsupported.text.emoji,images/reference/coloremoji_colrv0.png,images/generated/coloremoji_colrv0.png,images/diff/coloremoji_colrv0.png,
coloremoji,coloremoji,TEXT,text-emoji-gated,no-score,,0.0,,400,200,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.text.emoji,,images/generated/coloremoji.png,,reference-missing
colorwheelnative,colorwheelnative,TEXT,text-basic-latin,no-score,,0.0,,128,28,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/colorwheelnative.png,,,generated-render-missing
coloremoji_blendmodes_colrv0,coloremoji_blendmodes_colrv0,TEXT,text-emoji-gated,expected-unsupported,0.0328125,0.0,true,400,640,84,256000,255/255/255/255,98.36/140.49/136.43/14.77,unsupported.text.emoji,images/reference/coloremoji_blendmodes_colrv0.png,images/generated/coloremoji_blendmodes_colrv0.png,images/diff/coloremoji_blendmodes_colrv0.png,
coloremoji_blendmodes,coloremoji_blendmodes,TEXT,text-emoji-gated,no-score,,0.0,,300,300,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.text.emoji,,images/generated/coloremoji_blendmodes.png,,reference-missing
colrv1_gradient_stops_repeat,colrv1_gradient_stops_repeat,TEXT,text-color-font-gated,expected-unsupported,97.43625,90.0,true,1200,1200,1403082,1440000,255/255/255/0,241.01/247.45/19.61/0.0,unsupported.text.color_font,images/reference/colrv1_gradient_stops_repeat.png,images/generated/colrv1_gradient_stops_repeat.png,images/diff/colrv1_gradient_stops_repeat.png,
crbug_1073670,crbug_1073670,TEXT,text-basic-latin,instrumented-existing,70.6528,0.0,true,250,250,44158,62500,254/255/231/0,139.31/246.13/106.81/0.0,none,images/reference/crbug_1073670.png,images/generated/crbug_1073670.png,images/diff/crbug_1073670.png,
crbug_478659067,crbug_478659067,TEXT,text-basic-latin,no-score,,0.0,,1024,1280,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/crbug_478659067.png,,reference-missing
dftext_blob_persp,dftext_blob_persp,TEXT,text-perspective-or-transform-gated,no-score,,0.0,,900,350,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.text.perspective,images/reference/dftext_blob_persp.png,,,generated-render-missing
dftext,dftext,TEXT,text-basic-latin,instrumented-existing,74.45996602376303,73.0,true,1024,768,585577,786432,255/255/255/0,180.73/180.72/181.32/0.0,none,images/reference/dftext.png,images/generated/dftext.png,images/diff/dftext.png,
drawTextRSXform,drawTextRSXform,TEXT,text-rsxform-gated,no-score,,0.0,,430,860,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.text.rsxform,images/reference/drawTextRSXform.png,,,generated-render-missing
fontcache,fontcache,TEXT,text-large-or-cache,no-score,,0.0,,1280,1280,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/fontcache.png,,,generated-render-missing
fontmgr_bounds,fontmgr_bounds,TEXT,text-font-manager-gated,expected-unsupported,82.23000919117646,0.0,true,1024,850,715730,870400,255/255/255/0,80.65/126.59/102.25/0.0,unsupported.text.font_manager,images/reference/fontmgr_bounds.png,images/generated/fontmgr_bounds.png,images/diff/fontmgr_bounds.png,
fontmgr_iter,fontmgr_iter,TEXT,text-font-manager-gated,expected-unsupported,87.65530056423611,0.0,true,1536,768,1034024,1179648,255/255/255/0,115.22/124.58/148.5/0.0,unsupported.text.font_manager,images/reference/fontmgr_iter.png,images/generated/fontmgr_iter.png,images/diff/fontmgr_iter.png,
fontmgr_match,fontmgr_match,TEXT,text-font-manager-gated,expected-unsupported,94.68460083007812,0.0,true,640,1024,620525,655360,255/255/255/0,155.85/155.85/155.85/0.0,unsupported.text.font_manager,images/reference/fontmgr_match.png,images/generated/fontmgr_match.png,images/diff/fontmgr_match.png,
font_palette_default,font_palette_default,TEXT,text-color-palette-gated,expected-unsupported,48.925000000000004,0.0,true,1000,400,195700,400000,255/255/255/0,108.5/130.41/148.68/0.0,unsupported.text.palette,images/reference/font_palette_default.png,images/generated/font_palette_default.png,images/diff/font_palette_default.png,
fontregen,fontregen,TEXT,text-font-fallback-gated,no-score,,0.0,,512,512,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.text.font_fallback,images/reference/fontregen.png,,,generated-render-missing
fontscalerdistortable,fontscalerdistortable,TEXT,text-basic-latin,instrumented-existing,90.9638961038961,0.0,true,550,700,350211,385000,255/255/255/0,159.39/159.39/159.39/0.0,none,images/reference/fontscalerdistortable.png,images/generated/fontscalerdistortable.png,images/diff/fontscalerdistortable.png,
fontscaler,fontscaler,TEXT,text-basic-latin,instrumented-existing,77.51328735632184,0.0,true,1450,750,842957,1087500,255/255/255/0,126.05/125.99/126.29/0.0,none,images/reference/fontscaler.png,images/generated/fontscaler.png,images/diff/fontscaler.png,
gammagradienttext,gammagradienttext,TEXT,text-basic-latin,instrumented-existing,75.84666666666666,75.3,true,300,300,68262,90000,255/255/255/0,92.99/138.42/90.96/0.0,none,images/reference/gammagradienttext.png,images/generated/gammagradienttext.png,images/diff/gammagradienttext.png,
gammatext_color_shader,gammatext_color_shader,TEXT,text-shader-or-gradient-gated,expected-unsupported,34.80242424242424,0.0,true,300,275,28712,82500,136/136/136/0,61.28/61.22/61.15/0.0,unsupported.text.shader_or_gradient,images/reference/gammatext_color_shader.png,images/generated/gammatext_color_shader.png,images/diff/gammatext_color_shader.png,
gammatext,gammatext,TEXT,text-basic-latin,instrumented-existing,45.05716959635417,10.0,true,1024,480,221465,491520,249/249/249/0,58.56/58.56/58.53/0.0,none,images/reference/gammatext.png,images/generated/gammatext.png,images/diff/gammatext.png,
getpostextpath,getpostextpath,TEXT,text-basic-latin,instrumented-existing,94.19978632478633,90.0,true,480,780,352684,374400,255/255/255/0,68.06/209.41/209.41/0.0,none,images/reference/getpostextpath.png,images/generated/getpostextpath.png,images/diff/getpostextpath.png,
gradtext,gradtext,TEXT,text-shader-or-gradient-gated,expected-unsupported,77.41333333333333,77.3,true,500,480,185792,240000,255/252/255/0,137.72/43.72/43.65/0.0,unsupported.text.shader_or_gradient,images/reference/gradtext.png,images/generated/gradtext.png,images/diff/gradtext.png,
largeglyphblur,largeglyphblur,TEXT,text-filter-or-blur-gated,expected-unsupported,30.239149305555557,0.0,true,1920,600,348355,1152000,255/255/255/0,96.36/96.36/96.36/0.0,unsupported.text.filter_or_blur,images/reference/largeglyphblur.png,images/generated/largeglyphblur.png,images/diff/largeglyphblur.png,
lcdoverlap,lcdoverlap,TEXT,text-basic-latin,instrumented-existing,81.55893333333334,0.0,true,750,750,458769,562500,255/255/255/255,97.24/98.26/105.11/72.43,none,images/reference/lcdoverlap.png,images/generated/lcdoverlap.png,images/diff/lcdoverlap.png,
macaa_colors,macaa_colors,TEXT,text-basic-latin,instrumented-existing,87.18825,0.0,true,800,500,348753,400000,255/255/255/0,120.83/120.83/120.83/0.0,none,images/reference/macaa_colors.png,images/generated/macaa_colors.png,images/diff/macaa_colors.png,
