rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
sweep_tiling,sweep_tiling,GRADIENT,gradient-tile-mode,expected-unsupported,13.043478260869565,10.4,true,690,512,46080,353280,213/242/186/0,115.38/59.36/147.47/0.0,unsupported.material.gradient_tile_mode,images/reference/sweep_tiling.png,images/generated/sweep_tiling.png,images/diff/sweep_tiling.png,
testgradient,testgradient,GRADIENT,gradient-linear,instrumented-existing,95.6084375,0.0,true,800,800,611894,640000,171/142/105/0,23.73/15.14/16.07/0.0,none,images/reference/testgradient.png,images/generated/testgradient.png,images/diff/testgradient.png,
AlternateLuma,AlternateLuma,RUNTIME_EFFECT,runtime-effect-unregistered-gated,expected-unsupported,0.0,0.0,true,384,128,0,49152,250/251/249/0,134.82/137.87/137.69/0.0,unsupported.runtime_effect.unregistered_descriptor,images/reference/AlternateLuma.png,images/generated/AlternateLuma.png,images/diff/AlternateLuma.png,
arithmode,arithmode,RUNTIME_EFFECT,runtime-effect-registered,no-score,,0.0,,640,572,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/arithmode.png,images/generated/arithmode.png,,size-mismatch
colorcubecolorfilterrt,colorcubecolorfilterrt,RUNTIME_EFFECT,runtime-effect-unregistered-gated,no-score,,0.0,,256,256,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.runtime_effect.unregistered_descriptor,,images/generated/colorcubecolorfilterrt.png,,reference-missing
color_cube_rt,color_cube_rt,RUNTIME_EFFECT,runtime-effect-unregistered-gated,expected-unsupported,0.0,0.0,true,512,512,0,262144,252/254/253/0,126.79/136.01/155.81/0.0,unsupported.runtime_effect.unregistered_descriptor,images/reference/color_cube_rt.png,images/generated/color_cube_rt.png,images/diff/color_cube_rt.png,
composeCF,composeCF,RUNTIME_EFFECT,runtime-effect-registered,instrumented-existing,0.0,0.0,true,200,200,0,40000,240/252/254/0,182.46/175.48/207.06/0.0,none,images/reference/composeCF.png,images/generated/composeCF.png,images/diff/composeCF.png,
runtime_intrinsics_common,runtime_intrinsics_common,RUNTIME_EFFECT,runtime-effect-registered,no-score,,0.0,,635,845,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/runtime_intrinsics_common.png,images/generated/runtime_intrinsics_common.png,,size-mismatch
runtime_intrinsics_exponential,runtime_intrinsics_exponential,RUNTIME_EFFECT,runtime-effect-registered,no-score,,0.0,,215,605,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/runtime_intrinsics_exponential.png,images/generated/runtime_intrinsics_exponential.png,,size-mismatch
runtime_intrinsics_geometric,runtime_intrinsics_geometric,RUNTIME_EFFECT,runtime-effect-registered,no-score,,0.0,,425,605,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/runtime_intrinsics_geometric.png,images/generated/runtime_intrinsics_geometric.png,,size-mismatch
runtime_intrinsics_matrix,runtime_intrinsics_matrix,RUNTIME_EFFECT,runtime-effect-registered,no-score,,0.0,,320,245,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/runtime_intrinsics_matrix.png,images/generated/runtime_intrinsics_matrix.png,,size-mismatch
runtime_intrinsics_relational,runtime_intrinsics_relational,RUNTIME_EFFECT,runtime-effect-registered,no-score,,0.0,,425,725,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/runtime_intrinsics_relational.png,images/generated/runtime_intrinsics_relational.png,,size-mismatch
runtime_intrinsics_trig,runtime_intrinsics_trig,RUNTIME_EFFECT,runtime-effect-registered,no-score,,0.0,,320,605,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/runtime_intrinsics_trig.png,images/generated/runtime_intrinsics_trig.png,,size-mismatch
