name,subfamily,classification,similarity,minSimilarity,fallbackReason,noScoreCause
pictureshadercache,bitmap-shader-affine,instrumented-existing,53.72,0.0,none,
pictureshader,bitmap-shader-affine,instrumented-existing,30.83743842364532,0.0,none,
pictureshader_localwrapper,bitmap-shader-affine,instrumented-existing,30.83743842364532,0.0,none,
pictureshader_persp,perspective-gated,expected-unsupported,11.864693446088795,0.0,unsupported.transform.perspective_route_rejected,
pictureshadertile,bitmap-shader-affine,instrumented-existing,44.07666666666666,0.0,none,
poster_circle,texture-cache-candidate,instrumented-existing,36.965185185185184,0.0,none,
readpixelscodec,animation-gated,no-score,,0.0,dependency.image.codec.unregistered,generated-render-missing
readpixelspicture,readpixels-or-snapshot-gated,expected-unsupported,7.535807291666667,0.0,unsupported.destination_read.strategy_unaccepted,
reinterpretcolorspace,color-management-gated,no-score,,0.0,unsupported.color.image_profile_conversion,generated-render-missing
repeated_bitmap,texture-cache-candidate,no-score,,0.0,none,generated-render-missing
repeated_bitmap_jpg,texture-cache-candidate,no-score,,0.0,none,generated-render-missing
scaled_tilemodes,sampler-policy-candidate,instrumented-existing,51.74457644628099,0.0,none,
scaled_tilemodes_npot,sampler-policy-candidate,instrumented-existing,72.57102272727273,0.0,none,
scalepixels_unpremul,texture-cache-candidate,no-score,,0.0,none,generated-render-missing
shaderpath,bitmap-shader-affine,instrumented-existing,0.03881458169420404,0.0,none,
showmiplevels_explicit,mipmap-gated,no-score,,0.0,unsupported.image.mipmap_budget_exceeded,generated-render-missing
skbug_8664,texture-cache-candidate,instrumented-existing,0.043373493975903614,0.0,none,
skbug_9819,texture-cache-candidate,instrumented-existing,43.9697265625,0.0,none,
srcrectconstraint,texture-cache-candidate,no-score,,0.0,none,reference-missing
stoplight_animated_image,animation-gated,expected-unsupported,77.31886253462605,0.0,dependency.image.codec.unregistered,
surface_underdraw,readpixels-or-snapshot-gated,expected-unsupported,0.0,0.0,unsupported.destination_read.strategy_unaccepted,
textureimage_and_shader,bitmap-shader-affine,no-score,,0.0,none,generated-render-missing
tiled_picture_shader,bitmap-shader-affine,instrumented-existing,0.0,0.0,none,
tiledscaledbitmap,sampler-policy-candidate,instrumented-existing,77.4726135085387,0.0,none,
tilemode_decal,sampler-policy-candidate,instrumented-existing,25.377272727272725,0.0,none,
tilemodes_alpha,sampler-policy-candidate,instrumented-existing,25.47454833984375,0.0,none,
tilemodes,sampler-policy-candidate,instrumented-existing,69.25243506493507,0.0,none,
tilemode_bitmap,sampler-policy-candidate,instrumented-existing,52.29180327868852,0.0,none,
tilemode_gradient,sampler-policy-candidate,instrumented-existing,52.29180327868852,0.0,none,
tinybitmap,texture-cache-candidate,instrumented-existing,0.0,0.0,none,
unpremul,texture-cache-candidate,instrumented-existing,40.12,0.0,none,
verylargebitmap,texture-cache-candidate,no-score,,0.0,none,generated-render-missing
