org.graphiks.math.SkcmsTransferFunction	skcms_TransferFunction	math/src/main/kotlin/SkcmsTransferFunction.kt:15	modules/skcms/src/skcms_public.h:71
org.graphiks.math.SkcmsTransferFunction.g	skcms_TransferFunction::g	math/src/main/kotlin/SkcmsTransferFunction.kt:16	modules/skcms/src/skcms_public.h:72
org.graphiks.math.SkcmsTransferFunction.a	skcms_TransferFunction::a	math/src/main/kotlin/SkcmsTransferFunction.kt:17	modules/skcms/src/skcms_public.h:72
org.graphiks.math.SkcmsTransferFunction.b	skcms_TransferFunction::b	math/src/main/kotlin/SkcmsTransferFunction.kt:18	modules/skcms/src/skcms_public.h:72
org.graphiks.math.SkcmsTransferFunction.c	skcms_TransferFunction::c	math/src/main/kotlin/SkcmsTransferFunction.kt:19	modules/skcms/src/skcms_public.h:72
org.graphiks.math.SkcmsTransferFunction.d	skcms_TransferFunction::d	math/src/main/kotlin/SkcmsTransferFunction.kt:20	modules/skcms/src/skcms_public.h:72
org.graphiks.math.SkcmsTransferFunction.e	skcms_TransferFunction::e	math/src/main/kotlin/SkcmsTransferFunction.kt:21	modules/skcms/src/skcms_public.h:72
org.graphiks.math.SkcmsTransferFunction.f	skcms_TransferFunction::f	math/src/main/kotlin/SkcmsTransferFunction.kt:22	modules/skcms/src/skcms_public.h:72
