org.graphiks.math.SkISize	SkISize	math/src/main/kotlin/SkISize.kt:3	include/core/SkSize.h:16
org.graphiks.math.SkISize.isEmpty	SkISize::isEmpty	math/src/main/kotlin/SkISize.kt:4	include/core/SkSize.h:31
org.graphiks.math.SkISize.isZero	SkISize::isZero	math/src/main/kotlin/SkISize.kt:5	include/core/SkSize.h:28
org.graphiks.math.SkISize.Companion.Make	SkISize::Make	math/src/main/kotlin/SkISize.kt:8	include/core/SkSize.h:20
org.graphiks.math.SkISize.Companion.MakeEmpty	SkISize::MakeEmpty	math/src/main/kotlin/SkISize.kt:9	include/core/SkSize.h:22
org.graphiks.math.SkSize	SkSize	math/src/main/kotlin/SkISize.kt:13	include/core/SkSize.h:52
org.graphiks.math.SkSize.isEmpty	SkSize::isEmpty	math/src/main/kotlin/SkISize.kt:14	include/core/SkSize.h:71
org.graphiks.math.SkSize.Companion.Make	SkSize::Make	math/src/main/kotlin/SkISize.kt:17	include/core/SkSize.h:56
org.graphiks.math.SkSize.Companion.MakeEmpty	SkSize::MakeEmpty	math/src/main/kotlin/SkISize.kt:20	include/core/SkSize.h:62
